cep,latitude,longitude,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023,ano_2024,media,maximo,minimo,soma,tendencia,casos_previstos_2026,risco_2026
19910071,-22.99524803623932,-49.86919952959707,0,0,0,0,32,3,95,9,26,217,38.2,217,0,382,217,54.04053346405272,MUITO_ALTO
19919899,-22.981656167295355,-49.874888471603725,0,0,0,0,1,0,4,12,40,24,8.1,40,0,81,24,32.91330827953061,MUITO_ALTO
19906520,-22.980649251052498,-49.88900103591832,0,0,0,0,2,0,14,10,19,25,7.0,25,0,70,25,26.62225266972382,ALTO
19901560,-22.99359590827719,-49.8664092547757,0,0,0,1,23,1,14,27,23,29,11.8,29,0,118,29,26.02836945519084,ALTO
19904196,-23.009316680923977,-49.88193163473181,1,0,0,0,5,0,18,4,20,40,8.8,40,0,88,39,24.942313340652618,ALTO
19906000,-22.98573579325884,-49.87604399768509,0,0,0,5,12,0,2,6,41,20,8.6,41,0,86,20,23.96595820770017,ALTO
19915846,-22.967269772425844,-49.84987591773756,0,0,0,0,0,0,2,3,8,32,4.5,32,0,45,32,22.714895368269936,ALTO
19911080,-22.968350078859487,-49.87654023297286,1,0,1,0,10,0,0,2,15,29,5.8,29,0,58,28,21.87871555715537,ALTO
19904197,-23.010987616980906,-49.88167004045039,1,0,0,0,4,0,18,2,30,26,8.1,30,0,81,25,21.05477674798749,ALTO
19909010,-22.96980175337148,-49.902085815341565,0,0,0,0,0,0,0,1,11,25,3.7,25,0,37,25,21.010242787313476,ALTO
19904210,-23.01391044253704,-49.88289783375927,1,0,0,0,0,0,4,4,11,24,4.4,24,0,44,23,20.84613470523618,ALTO
19900000,-22.97210552474173,-49.861041596601055,1,0,0,5,17,1,10,12,22,16,8.4,22,0,84,15,20.74243788147578,ALTO
19915491,-22.961399604066603,-49.85037898081737,0,0,0,1,8,0,10,3,26,35,8.3,35,0,83,35,20.606161979114404,ALTO
19913090,-22.981948008764707,-49.84099911142511,0,0,0,0,13,0,3,4,12,26,5.8,26,0,58,26,20.52069958203356,ALTO
19915501,-22.95982920721473,-49.860278515667936,0,0,0,2,2,0,5,8,19,33,6.9,33,0,69,33,20.508238892187364,ALTO
19911200,-22.96599160021446,-49.881062056515525,0,0,0,0,2,0,0,0,19,38,5.9,38,0,59,38,19.93860858973494,ALTO
19904198,-23.01215324564086,-49.88220154001374,0,0,0,0,1,0,17,3,10,24,5.5,24,0,55,24,19.797027269145477,ALTO
19913320,-22.979378730538205,-49.85717914998026,0,0,0,0,5,0,6,4,10,20,4.5,20,0,45,20,19.666357214184245,ALTO
19911690,-22.97264979551306,-49.8710704181438,0,0,0,0,5,0,9,5,6,25,5.0,25,0,50,25,19.63406072436192,ALTO
19915500,-22.962111284614668,-49.8629615595349,0,0,0,2,5,0,2,4,13,40,6.6,40,0,66,40,19.62114328519237,ALTO
19915808,-22.95641404388889,-49.85332546850169,1,0,1,2,2,0,2,1,14,18,4.1,18,0,41,17,19.16618939035834,ALTO
19901225,-22.97701484752544,-49.87513156419211,0,0,0,0,8,0,3,6,3,18,3.8,18,0,38,18,19.083297129924176,ALTO
19915704,-22.95854587410422,-49.85243422053414,0,0,0,0,5,0,4,3,23,33,6.8,33,0,68,33,18.954632160399346,ALTO
19914330,-22.966550807125984,-49.858755621278526,0,0,0,0,6,0,7,13,12,30,6.8,30,0,68,30,18.853256229893304,ALTO
19914540,-22.9653890343315,-49.85447812977564,0,0,0,1,3,0,2,17,5,11,3.9,17,0,39,11,18.777309371398587,ALTO
